DISTRICTNAME,Latitude,Longitude
Bagalkot,16.092348,75.86783
Bagalkot,16.096861,75.862252
Bagalkot,16.089249,75.868983
Bagalkot,16.087535,75.895879
Bagalkot,16.103525,75.864459
Bagalkot,15.929906,75.893596
Bagalkot,16.057933,75.995736
Bagalkot,16.092349,75.867658
Bagalkot,16.104667,75.865067
Bagalkot,15.9188,75.925696
Bagalkot,15.936715,75.905255
Bagalkot,16.09239,75.867766
Bagalkot,16.093841,75.864704
Bagalkot,15.940121,75.911959
Bagalkot,16.079447,75.914303
Bagalkot,16.052139,75.943097
Bagalkot,16.045729,75.938774
Bagalkot,16.058228,75.936228
Bagalkot,16.065588,75.924162
Dharwad,15.253212,75.123252
Bagalkot,16.075538,75.964201
Bagalkot,15.878656,75.966762
Bagalkot,16.099589,75.8483479
Bagalkot,16.057778,75.9381619
Bagalkot,16.092244,75.868776
Bagalkot,16.057992,75.998305
Bagalkot,16.057254,75.981838
Bagalkot,16.056628,75.970516
Bagalkot,16.087311,75.896982
Bagalkot,16.057404,75.93612
Bagalkot,16.026003,75.881741
Bagalkot,16.098799,75.854683
Bagalkot,16.123265,75.321256
Bagalkot,15.892741,75.581578
Bagalkot,15.851545,75.698028
Bagalkot,15.976847,75.695051
Bagalkot,15.929347,75.676761
Bagalkot,15.890557,75.469797
Bagalkot,15.96597,75.676762
Bagalkot,15.909587,75.501692
Bagalkot,15.90917,75.581319
Bagalkot,15.875367,75.731803
Bagalkot,15.915299,75.671588
Bagalkot,15.921427,75.678828
Bagalkot,15.900279,75.496895
Bagalkot,15.843082,75.649573
Bagalkot,15.896439,75.494986
Bagalkot,15.867395,75.62119
Bagalkot,15.912529,75.684443
Bagalkot,15.926449,75.678171
Bagalkot,15.904221,75.54487
Bagalkot,15.950922,75.743665
Bagalkot,15.941142,75.43769
Bagalkot,15.840941,75.674155
Bagalkot,15.904187,75.544921
Bagalkot,15.934408,75.675731
Bagalkot,15.91768,75.505833
Bagalkot,15.917508,75.505802
Bagalkot,15.947088,75.755113
Bagalkot,15.918161,75.506082
Bagalkot,15.894321,75.6995
Bagalkot,15.915242,75.671551
Bagalkot,15.96412,75.687764
Bagalkot,15.902731,75.691515
Bagalkot,15.97823,75.696044
Bagalkot,15.92957,75.677053
Bagalkot,15.986257,75.662152
Bagalkot,15.922286,75.465877
Bagalkot,15.942916,75.675922
Bagalkot,15.840096,75.600166
Bagalkot,15.904535,75.526684
Bagalkot,15.904204,75.544952
Bagalkot,15.917824,75.679524
Bagalkot,15.867169,75.735497
Bagalkot,15.849606,75.749165
Bagalkot,15.90451,75.526746
Bagalkot,15.863124,75.522123
Bagalkot,15.911809,75.662247
Bagalkot,15.934084,75.675773
Bagalkot,15.965102,75.67747
Bagalkot,15.9918,75.660558
Bagalkot,15.892593,75.606496
Bagalkot,15.902835,75.63523
Bagalkot,15.872381,75.556758
Bagalkot,15.957521,75.678026
Bagalkot,15.862248,75.738936
Bagalkot,15.920661,75.469321
Bagalkot,15.869302,75.734125
Bagalkot,15.903169,75.63646
Bagalkot,15.899267,75.628457
Bagalkot,15.909079,75.507525
Bagalkot,15.892577,75.583825
Bagalkot,15.891442,75.593022
Bagalkot,15.900106,75.496935
Bagalkot,15.925063,75.680418
Bagalkot,15.900829,75.497141
Bagalkot,15.964046,75.687718
Bagalkot,15.922247,75.678581
Bagalkot,15.906497,75.461287
Bagalkot,15.950764,75.743732
Bagalkot,15.931322,75.677045
Bagalkot,15.917964,75.679779
Bagalkot,15.906126,75.644381
Bagalkot,15.932266,75.4653
Bagalkot,15.912618,75.485652
Bagalkot,15.891794,75.593665
Bagalkot,15.947525,75.756563
Bagalkot,15.9074,75.500676
Bagalkot,15.976823,75.695443
Bagalkot,15.984902,75.665895
Bagalkot,15.839079,75.611207
Bagalkot,15.893291,75.576317
Bagalkot,15.893635,75.613922
Bagalkot,15.852245,75.542067
Bagalkot,15.903052,75.562439
Bagalkot,15.899372,75.523743
Bagalkot,15.901324,75.632791
Bagalkot,15.876657,75.721912
Bagalkot,15.842161,75.751181
Bagalkot,15.932787,75.675826
Bagalkot,15.859637,75.543875
Bagalkot,15.846334,75.611427
Bagalkot,15.923437,75.679273
Bagalkot,15.892286,75.673517
Bagalkot,15.977471,75.696365
Bagalkot,15.98833,75.659884
Bagalkot,15.881149,75.497693
Bagalkot,15.927132,75.503231
Bagalkot,15.96977,75.710153
Bagalkot,15.935525,75.675848
Bagalkot,15.94888,75.806757
Bagalkot,15.890267,75.682158
Bagalkot,15.901381,75.657096
Bagalkot,15.890558,75.70328
Bagalkot,15.874665,75.795463
Bagalkot,15.91524,75.479356
Bagalkot,16.009336,75.62475
Bagalkot,15.908609,75.494284
Bagalkot,15.857622,75.742487
Bagalkot,15.980687,75.697526
Bagalkot,15.932131,75.51236
Bagalkot,15.879877,75.801259
Bagalkot,15.905632,75.642022
Bagalkot,15.914622,75.670336
Bagalkot,15.879707,75.655821
Bagalkot,15.951712,75.716677
Bagalkot,15.974077,75.704106
Bagalkot,15.840832,75.751022
Bagalkot,15.875297,75.721837
Bagalkot,15.922514,75.679653
Bagalkot,15.908582,75.50285
Bagalkot,15.904106,75.528894
Bagalkot,15.930628,75.676407
Bagalkot,15.88376,75.619478
Bagalkot,15.948094,75.760697
Bagalkot,15.911675,75.754716
Bagalkot,15.936135,75.438692
Bagalkot,15.847865,75.724528
Bagalkot,15.892449,75.607742
Bagalkot,15.909464,75.501282
Bagalkot,15.913667,75.505423
Bagalkot,15.878656,75.712328
Bagalkot,15.973889,75.704591
Bagalkot,15.891275,75.591834
Bagalkot,15.958838,75.727883
Bagalkot,15.947341,75.749029
Bagalkot,15.876297,75.717687
Bagalkot,15.897938,75.495651
Bagalkot,15.902178,75.540518
Bagalkot,15.872206,75.723883
Bagalkot,15.939645,75.653103
Bagalkot,15.890951,75.601263
Bagalkot,15.98289,75.700843
Bagalkot,15.891095,75.468553
Bagalkot,15.9633,75.687925
Bagalkot,15.896165,75.494913
Bagalkot,15.929185,75.451587
Bagalkot,15.93245,75.443837
Bagalkot,15.941192,75.582433
Bagalkot,15.908405,75.501179
Bagalkot,15.90348,75.638123
Bagalkot,15.946831,75.678401
Bagalkot,15.909389,75.495883
Bagalkot,15.914718,75.479663
Bagalkot,15.910741,75.502209
Bagalkot,15.893652,75.587161
Bagalkot,15.915573,75.672335
Bagalkot,15.933328,75.675965
Bagalkot,15.912356,75.760893
Bagalkot,15.918247,75.680028
Bagalkot,15.884635,75.497325
Bagalkot,16.176249,75.885572
Bagalkot,16.23088,75.968488
Bagalkot,16.30913,75.917555
Bagalkot,16.286919,75.927078
Bagalkot,16.310534,75.904174
Bagalkot,16.311575,75.91888
Bagalkot,16.228365,75.970056
Bagalkot,16.112005,75.773632
Bagalkot,16.152548,75.754976
Bagalkot,16.157553,75.734296
Bagalkot,16.186152,75.620004
Bagalkot,16.164537,75.793792
Bagalkot,16.203678,75.8145979
Bagalkot,16.17621,75.635757
Bagalkot,16.10081,75.8028
Bagalkot,16.145735,75.745522
Bagalkot,16.101868,75.781109
Bagalkot,16.257339,75.866113
Bagalkot,16.183507,75.736695
Bagalkot,16.314407,75.854491
Bagalkot,16.182796,75.62917
Bagalkot,16.155649,75.738674
Bagalkot,16.289516,75.924951
Bagalkot,16.100036,75.77689
Bagalkot,16.152373,75.740995
Bagalkot,16.314489,75.901757
Bagalkot,16.231038,75.969127
Bagalkot,16.099567,75.795253
Bagalkot,16.244924,75.85581
Bagalkot,16.157541,75.7832059
Bagalkot,16.101562,75.815747
Bagalkot,16.137677,75.7526949
Bagalkot,16.101455,75.805017
Bagalkot,16.302538,75.891478
Bagalkot,16.317446,75.88975
Bagalkot,16.146567,75.745556
Bagalkot,16.099451,75.794797
Bagalkot,16.178688,75.854289
Bagalkot,16.282618,75.892439
Bagalkot,16.101075,75.805188
Bagalkot,16.157029,75.781801
Bagalkot,16.257869,75.867185
Bagalkot,16.136606,75.751803
Bagalkot,16.314944,75.901715
Bagalkot,16.309978,75.917443
Bagalkot,16.18497,75.620077
Bagalkot,16.253127,75.952646
Bagalkot,16.110121,75.77462
Bagalkot,16.149611,75.69677
Bagalkot,16.183444,75.629704
Bagalkot,16.240887,75.64219
Bagalkot,16.264575,75.872314
Bagalkot,16.147606,75.727405
Bagalkot,16.100122,75.801481
Bagalkot,16.155662,75.738469
Bagalkot,16.151996,75.692909
Bagalkot,16.132346,75.695248
Bagalkot,16.264873,75.871924
Bagalkot,16.29106,75.923288
Bagalkot,16.093908,75.776206
Bagalkot,16.243039,75.960339
Bagalkot,16.230997,75.641413
Bagalkot,16.186071,75.619156
Bagalkot,16.195212,75.838875
Bagalkot,16.256756,75.950411
Bagalkot,16.220424,75.894454
Bagalkot,16.111631,75.773387
Bagalkot,16.280425,75.932751
Bagalkot,16.160663,75.734733
Bagalkot,16.243423,75.960096
Bagalkot,16.172212,75.724722
Bagalkot,16.10278,75.780754
Bagalkot,16.290844,75.923944
Bagalkot,16.147483,75.729686
Bagalkot,16.151238,75.693897
Bagalkot,16.183954,75.625084
Bagalkot,16.242777,75.96048
Bagalkot,16.15282,75.755991
Bagalkot,16.203311,75.814911
Bagalkot,16.152854,75.764347
Bagalkot,16.185215,75.622674
Bagalkot,16.10383,75.802567
Bagalkot,16.256735,75.950096
Bagalkot,16.174863,75.88867
Bagalkot,16.239722,75.835185
Bagalkot,16.24308,75.9600229
Bagalkot,16.309375,75.918099
Bagalkot,16.315676,75.90166
Bagalkot,16.161382,75.388327
Bagalkot,16.144484,75.664036
Bagalkot,16.280751,75.906195
Bagalkot,16.29779,75.916142
Bagalkot,16.161727,75.785989
Bagalkot,16.194225,75.838839
Bagalkot,16.128024,75.696242
Bagalkot,16.243011,75.959954
Bagalkot,16.092658,75.807195
Bagalkot,16.237541,75.63477
Bagalkot,16.183028,75.62808
Bagalkot,16.117642,75.768663
Bagalkot,16.306387,75.922622
Bagalkot,16.161959,75.791357
Bagalkot,16.144857,75.691686
Bagalkot,16.256786,75.950221
Bagalkot,16.156403,75.777774
Bagalkot,16.309956,75.918066
Bagalkot,16.248106,75.956411
Bagalkot,16.231816,75.655552
Bagalkot,16.300984,75.887301
Bagalkot,16.283254,75.89201
Bagalkot,16.101198,75.823735
Bagalkot,16.158501,75.785676
Bagalkot,16.255733,75.818171
Bagalkot,16.141803,75.690421
Bagalkot,16.199144,75.769416
Bagalkot,16.242998,75.960122
Bagalkot,16.226131,75.827007
Bagalkot,16.099143,75.791233
Bagalkot,16.153438,75.762153
Bagalkot,16.154218,75.759626
Bagalkot,16.153222,75.75891
Bagalkot,16.281719,76.013973
Bagalkot,16.154151,75.767646
Bagalkot,16.293353,75.89181
Bagalkot,16.19857,75.8136389
Belagavi,16.09212,75.36467
Bagalkot,16.165675,75.793961
Bagalkot,16.246538,75.962161
Bagalkot,16.192082,75.615975
Bagalkot,16.182783,75.805347
Bagalkot,16.185172,75.620071
Bagalkot,16.286352,75.999379
Bagalkot,16.18499,75.624738
Bagalkot,16.140839,75.742466
Bagalkot,16.204991,75.893299
Bagalkot,16.19969,75.81472
Bagalkot,16.160735,75.766328
Bagalkot,16.213247,75.692467
Bagalkot,16.21879,75.81581
Bagalkot,16.286679,75.994806
Bagalkot,16.1836,75.5327
Bagalkot,16.265576,75.88405
Bagalkot,16.181084,75.651166
Bagalkot,16.160451,75.644379
Bagalkot,16.185181,75.712
Bagalkot,16.160237,75.632716
Bagalkot,16.188544,75.67597
Bagalkot,16.169086,75.658721
Bagalkot,16.168943,75.647258
Bagalkot,16.174929,75.655828
Bagalkot,16.187089,75.701908
Bagalkot,16.165073,75.681188
Bagalkot,16.184423,75.666748
Bagalkot,16.184861,75.69066
Bagalkot,16.167273,75.673338
Bagalkot,16.169125,75.660507
Bagalkot,16.186641,75.705473
Bagalkot,16.181558,75.640512
Bagalkot,16.181073,75.650889
Bagalkot,16.159592,75.669074
Bagalkot,16.15469,75.664508
Bagalkot,16.181092,75.716076
Bagalkot,16.189277,75.687202
Bagalkot,16.158421,75.67288
Bagalkot,16.181659,75.65821
Bagalkot,16.169069,75.658024
Bagalkot,16.159682,75.678074
Bagalkot,16.175595,75.65263
Bagalkot,16.159422,75.664106
Bagalkot,16.186192,75.711041
Bagalkot,16.18172,75.715439
Bagalkot,16.158128,75.663918
Bagalkot,16.189798,75.698164
Bagalkot,16.159522,75.664549
Bagalkot,16.168044,75.684003
Bagalkot,16.181461,75.656391
Bagalkot,16.149675,75.659069
Bagalkot,16.169054,75.655168
Bagalkot,16.188492,75.681916
Bagalkot,16.16886,75.647079
Bagalkot,16.186488,75.71066
Bagalkot,16.181557,75.640514
Bagalkot,16.168836,75.640095
Bagalkot,16.162885,75.677467
Bagalkot,16.182112,75.635825
Bagalkot,16.181042,75.64774
Bagalkot,16.178146,75.659966
Bagalkot,16.164865,75.681026
Bagalkot,16.159104,75.644395
Bagalkot,16.159127,75.647243
Bagalkot,16.149754,75.656248
Bagalkot,16.175986,75.693265
Bagalkot,16.174716,75.669146
Bagalkot,16.173207,75.682714
Bagalkot,16.159419,75.662018
Bagalkot,16.165924,75.697919
Bagalkot,16.178176,75.697229
Bagalkot,16.172649,75.652703
Bagalkot,16.179509,75.70227
Bagalkot,16.163027,75.638454
Bagalkot,16.169149,75.655959
Bagalkot,16.162298,75.696808
Bagalkot,16.158294,75.673318
Bagalkot,16.16625,75.670136
Bagalkot,16.165925,75.656304
Bagalkot,16.177336,75.695634
Bagalkot,16.169082,75.655892
Bagalkot,16.188837,75.677381
Bagalkot,16.154565,75.656296
Bagalkot,16.189168,75.686208
Bagalkot,16.174578,75.672366
Bagalkot,16.173799,75.673182
Bagalkot,16.159513,75.664472
Bagalkot,16.184251,75.666736
Bagalkot,16.176881,75.694749
Bagalkot,16.165528,75.638623
Bagalkot,16.163267,75.650368
Bagalkot,16.162714,75.632604
Bagalkot,16.158055,75.672182
Bagalkot,16.173143,75.659922
Bagalkot,16.18718,75.703581
Bagalkot,16.188526,75.675885
Bagalkot,16.188933,75.685137
Bagalkot,16.188292,75.680403
Bagalkot,16.16084,75.664375
Bagalkot,16.169137,75.665543
Bagalkot,16.181533,75.640419
Bagalkot,16.175195,75.666045
Bagalkot,16.18186,75.637807
Bagalkot,16.168989,75.629361
Bagalkot,16.186427,75.669355
Bagalkot,16.18335,75.665397
Bagalkot,16.18101,75.701786
Bagalkot,16.174344,75.658666
Bagalkot,16.181724,75.658767
Bagalkot,16.167063,75.670184
Bagalkot,16.166919,75.647059
Bagalkot,16.181408,75.641802
Bagalkot,16.158354,75.675082
Bagalkot,16.168899,75.646611
Bagalkot,16.159434,75.670344
Bagalkot,16.188412,75.679614
Bagalkot,16.173737,75.700441
Bagalkot,16.184254,75.666528
Bagalkot,16.18205,75.661824
Bagalkot,16.158366,75.672834
Bagalkot,16.16084,75.664413
Bagalkot,16.147906,75.66183
Bagalkot,16.162191,75.679436
Bagalkot,16.189791,75.693892
Bagalkot,16.168995,75.653944
Bagalkot,16.173635,75.681657
Bagalkot,16.159043,75.637032
Bagalkot,16.174776,75.656665
Bagalkot,16.168686,75.632378
Bagalkot,16.158364,75.672782
Bagalkot,16.168716,75.637568
Bagalkot,16.18541,75.668163
Bagalkot,16.169062,75.658668
Bagalkot,16.172598,75.684819
Bagalkot,16.158248,75.671671
Bagalkot,16.169099,75.652201
Bagalkot,16.167842,75.661537
Bagalkot,16.157084,75.646846
Bagalkot,16.16835,75.611408
Bagalkot,16.168915,75.651281
Bagalkot,16.159553,75.664581
Bagalkot,16.159512,75.667401
Bagalkot,16.188474,75.673508
Bagalkot,16.15518,75.647406
Bagalkot,16.158346,75.676352
Bagalkot,16.175038,75.691372
Bagalkot,16.168644,75.632492
Bagalkot,16.176426,75.652723
Bagalkot,16.177196,75.659802
Bagalkot,16.181554,75.640395
Bagalkot,16.168919,75.643705
Bagalkot,16.173244,75.682774
Bagalkot,16.169128,75.658652
Bagalkot,16.168882,75.647016
Bagalkot,16.184209,75.693972
Bagalkot,16.168905,75.643652
Bagalkot,16.18306,75.702663
Bagalkot,16.182093,75.635803
Bagalkot,16.169164,75.68506
Bagalkot,16.168897,75.643465
Bagalkot,16.478999,75.130716
Bagalkot,16.468966,75.177142
Bagalkot,16.465977,75.178438
Bagalkot,16.473498,75.133399
Bagalkot,16.493828,75.165226
Bagalkot,16.478894,75.130767
Bagalkot,16.482365,75.131067
Bagalkot,16.498099,75.159778
Bagalkot,16.471334,75.115777
Bagalkot,16.471448,75.116015
Bagalkot,16.474203,75.118704
Bagalkot,16.471067,75.111932
Bagalkot,16.470049,75.168763
Bagalkot,16.437,75.201253
Bagalkot,16.473415,75.133494
Bagalkot,16.459821,75.106749
Bagalkot,16.476525,75.121069
Bagalkot,16.418175,75.109209
Bagalkot,16.494163,75.168425
Bagalkot,16.4938,75.165236
Bagalkot,16.486304,75.132625
Bagalkot,16.495458,75.189345
Bagalkot,16.486355,75.132653
Bagalkot,16.449094,75.130591
Bagalkot,16.52599,75.166137
Bagalkot,16.493261,75.143669
Bagalkot,16.467054,75.107164
Bagalkot,16.492864,75.14682
Bagalkot,16.492456,75.15595
Bagalkot,16.493248,75.14367
Bagalkot,16.419021,75.110465
Bagalkot,16.459842,75.117414
Bagalkot,16.492601,75.127475
Bagalkot,16.477915,75.122837
Bagalkot,16.470972,75.137829
Bagalkot,16.49542,75.198244
Bagalkot,16.523375,75.162899
Bagalkot,16.494479,75.121506
Bagalkot,16.469599,75.169904
Bagalkot,16.436731,75.109358
Bagalkot,16.478073,75.127623
Bagalkot,16.477776,75.122485
Bagalkot,16.519108,75.162988
Bagalkot,16.488158,75.18163
Bagalkot,16.49299,75.145305
Bagalkot,16.527453,75.177402
Bagalkot,16.496278,75.121307
Bagalkot,16.490475,75.136988
Bagalkot,16.408819,75.10803
Bagalkot,16.47244,75.134062
Bagalkot,16.494575,75.121592
Bagalkot,16.492779,75.142342
Bagalkot,16.447149,75.176195
Bagalkot,16.470901,75.112467
Bagalkot,16.442736,75.196116
Bagalkot,16.528534,75.169117
Bagalkot,16.445947,75.083617
Bagalkot,16.467297,75.14558
Bagalkot,16.412954,75.158458
Bagalkot,16.423553,75.109467
Bagalkot,16.485117,75.131325
Bagalkot,16.495014,75.176546
Bagalkot,16.448328,75.130796
Bagalkot,16.483612,75.184046
Bagalkot,16.480397,75.131074
Bagalkot,16.471151,75.107393
Bagalkot,16.493236,75.143678
Bagalkot,16.474808,75.119449
Bagalkot,16.5387,75.179398
Bagalkot,16.443537,75.108673
Bagalkot,16.547529,75.181617
Bagalkot,16.527146,75.164353
Bagalkot,16.495305,75.184006
Bagalkot,16.536345,75.204532
Bagalkot,16.490908,75.138361
Bagalkot,16.4767,75.11438
Bagalkot,16.525547,75.165607
Bagalkot,16.495436,75.200662
Bagalkot,16.49545,75.19153
Bagalkot,16.293612,75.92612
Bagalkot,16.493016,75.145271
Bagalkot,16.477213,75.177476
Bagalkot,16.493213,75.14381
Bagalkot,16.2832,75.751
Bagalkot,16.478534,75.128284
Bagalkot,16.454992,75.106695
Bagalkot,16.495244,75.183906
Bagalkot,16.281763,75.918307
Belagavi,16.542933,75.127935
Bagalkot,16.548154,75.182553
Bagalkot,16.462777,75.156204
Bagalkot,16.424651,75.1113
Bagalkot,16.495608,75.131343
Bagalkot,16.492745,75.148411
Bagalkot,16.55287,75.178172
Bagalkot,16.47826,75.12442
Bagalkot,16.470808,75.107407
Bagalkot,16.522992,75.162864
Bagalkot,16.471808,75.116718
Bagalkot,16.459318,75.17991
Bagalkot,16.479001,75.13051
Bagalkot,16.471762,75.116481
Bagalkot,16.471023,75.148485
Bagalkot,16.52752,75.17478
Bagalkot,16.455295,75.106576
Bagalkot,16.495148,75.187991
Bagalkot,16.336515,75.704181
Bagalkot,16.345278,75.624779
Bagalkot,16.286911,75.629979
Bagalkot,16.302571,75.618209
Bagalkot,16.236198,75.49143
Bagalkot,16.34303,75.620857
Bagalkot,16.353638,75.705934
Bagalkot,16.34499,75.624649
Bagalkot,16.364634,75.669385
Bagalkot,16.341599,75.632706
Bagalkot,16.353812,75.600118
Bagalkot,16.307442,75.622672
Bagalkot,16.295976,75.552825
Bagalkot,16.405271,75.69086
Bagalkot,16.306066,75.634994
Bagalkot,16.361188,75.583725
Bagalkot,16.401165,75.660779
Vijayapura,16.417817,75.691264
Bagalkot,16.331999,75.642296
Bagalkot,16.347798,75.645882
Bagalkot,16.415393,75.432928
Bagalkot,16.304647,75.634501
Bagalkot,16.287035,75.495853
Bagalkot,16.292343,75.572819
Bagalkot,16.340121,75.644662
Bagalkot,16.419619,75.532473
Vijayapura,16.451789,75.692228
Bagalkot,16.377035,75.526513
Bagalkot,16.347632,75.6475989
Bagalkot,16.422005,75.437118
Bagalkot,16.350011,75.637819
Vijayapura,16.445731,75.6930349
Bagalkot,16.244025,75.620457
Bagalkot,16.350464,75.635976
Bagalkot,16.303219,75.634419
Bagalkot,16.390365,75.445352
Bagalkot,16.231335,75.49141
Bagalkot,16.363747,75.649473
Bagalkot,16.353417,75.555515
Bagalkot,16.24771,75.620478
Bagalkot,16.251731,75.520676
Bagalkot,16.401354,75.68946
Bagalkot,16.292449,75.489234
Bagalkot,16.242995,75.549264
Bagalkot,16.289711,75.615549
Bagalkot,16.380478,75.50812
Bagalkot,16.496307,75.433555
Bagalkot,16.408578,75.691966
Bagalkot,16.263621,75.622662
Bagalkot,16.38318,75.510738
Bagalkot,16.331224,75.641469
Bagalkot,16.326181,75.636245
Bagalkot,16.351228,75.612721
Bagalkot,16.236488,75.54405
Bagalkot,16.302991,75.634761
Bagalkot,16.344272,75.615462
Bagalkot,16.249577,75.563141
Bagalkot,16.246705,75.484919
Bagalkot,16.40844,75.439229
Bagalkot,16.401245,75.660791
Bagalkot,16.346514,75.621737
Bagalkot,16.358851,75.648953
Bagalkot,16.478972,75.429561
Bagalkot,16.356609,75.652062
Bagalkot,16.333986,75.644176
Bagalkot,16.330114,75.641501
Bagalkot,16.22754,75.490915
Bagalkot,16.511907,75.429453
Bagalkot,16.357528,75.594297
Bagalkot,16.374852,75.651786
Bagalkot,16.3233,75.638684
Bagalkot,16.350459,75.649315
Bagalkot,16.367297,75.647477
Bagalkot,16.351665,75.606347
Bagalkot,16.411529,75.589371
Bagalkot,16.297096,75.61029
Bagalkot,16.237704,75.54591
Bagalkot,16.353045,75.616098
Bagalkot,16.351933,75.708388
Bagalkot,16.34096,75.646078
Bagalkot,16.351366,75.646806
Bagalkot,16.282925,75.479531
Bagalkot,16.266648,75.673187
Bagalkot,16.339785,75.634748
Bagalkot,16.345247,75.624055
Bagalkot,16.38897,75.682641
Bagalkot,16.252441,75.470277
Bagalkot,16.401595,75.68882
Bagalkot,16.375739,75.711448
Bagalkot,16.367893,75.687327
Bagalkot,16.236891,75.616642
Bagalkot,16.374654,75.651341
Bagalkot,16.233001,75.619686
Bagalkot,16.389234,75.6843
Bagalkot,16.40804,75.607479
Bagalkot,16.321791,75.64663
Bagalkot,16.396838,75.392279
Bagalkot,16.34286,75.64564
Bagalkot,16.249875,75.620311
Bagalkot,16.350503,75.648687
Bagalkot,16.351436,75.670299
Bagalkot,16.380961,75.512924
Bagalkot,16.385353,75.674477
Vijayapura,16.463465,75.686472
Bagalkot,16.270448,75.439495
Bagalkot,16.392673,75.44845
Bagalkot,16.463614,75.431343
Bagalkot,16.334035,75.643755
Bagalkot,16.345988,75.647816
Bagalkot,16.386087,75.416527
Bagalkot,16.399644,75.68834
Bagalkot,16.37741,75.658063
Bagalkot,16.23895,75.59323
Bagalkot,16.372289,75.694228
Bagalkot,16.266763,75.672911
Bagalkot,16.303697,75.634278
Bagalkot,16.318042,75.64988
Bagalkot,16.347183,75.624928
Bagalkot,16.321887,75.683019
Bagalkot,16.390778,75.681834
Bagalkot,16.449171,75.406371
Bagalkot,16.374324,75.533968
Bagalkot,16.36956,75.55906
Bagalkot,16.248478,75.62037
Bagalkot,16.271919,75.624769
Bagalkot,16.294072,75.632059
Bagalkot,16.420337,75.437239
Bagalkot,16.519366,75.422162
Bagalkot,16.380206,75.664277
Bagalkot,16.372836,75.539587
Bagalkot,16.394517,75.604914
Bagalkot,16.416115,75.428671
Bagalkot,16.446837,75.426652
Bagalkot,16.354237,75.647108
Bagalkot,16.277941,75.626903
Bagalkot,16.351467,75.622372
Bagalkot,16.350378,75.619612
Bagalkot,16.385152,75.67477
Bagalkot,16.335413,75.640064
Bagalkot,16.359894,75.648651
Bagalkot,16.376937,75.527703
Bagalkot,16.285739,75.629493
Bagalkot,16.380143,75.516455
Bagalkot,16.373084,75.54035
Bagalkot,16.344863,75.638088
Bagalkot,16.3854,75.41732
Bagalkot,16.25708,75.62145
Bagalkot,16.408535,75.433925
Bagalkot,16.38865,75.49895
Bagalkot,16.385343,75.675418
Bagalkot,16.375209,75.652201
